Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
ADAMS 12 FIVE STAR SCHOOLS,Colorado,ADAMS COUNTY,53,4,53,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,38701,2000.34,19.35
ADAMS 12 NORTHGLENN,Colorado,ADAMS COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,Prekindergarten,12th Grade,–,–,–
ADAMS 14 COMMERCE CITY,Colorado,ADAMS COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,Prekindergarten,12th Grade,–,–,–
ADAMS 27J BRIGHTON,Colorado,ADAMS COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,Prekindergarten,12th Grade,–,–,–
ADAMS 50 WESTMINSTER,Colorado,ADAMS COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,Prekindergarten,12th Grade,–,–,–
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,ADAMS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,1023,86,11.9
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,ADAMS COUNTY,4,†,4,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,890,–,–
ADAMS COUNTY BOCES,Colorado,ADAMS COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,†,†,–,0,–
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,ADAMS COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,3986,–,–
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,HOUGHTON COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,452,23.53,19.21
ADAMS-ARAP 28J AURORA,Colorado,ARAPAHOE COUNTY,0,0,†,4-Regional Education Service Agency (RESA),11-City: Large,†,Prekindergarten,12th Grade,–,–,–
ADAMS-CHESHIRE,Massachusetts,BERKSHIRE COUNTY,3,0,3,4-Regional Education Service Agency (RESA),23-Suburb: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,1352,100.61,13.44
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,ADAMS COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1625,–,–
ADDISON CENTRAL SCHOOL DISTRICT,New York,STEUBEN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1140,92.51,12.32
ADDISON CENTRAL SUPERVISORY UNION,Vermont,ADDISON COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),32-Town: Distant,†,†,†,–,31.1,–
ADDISON COMMUNITY SCHOOLS,Michigan,LENAWEE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,851,49.18,17.3
ADDISON NORTHEAST SUPERVISORY UNION,Vermont,ADDISON COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),42-Rural: Distant,†,†,†,–,9.1,–
ADDISON NORTHWEST SUPERVISORY UNION,Vermont,ADDISON COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),32-Town: Distant,†,†,†,–,28.2,–
ADDISON RUTLAND SUPERVISORY UNION,Vermont,RUTLAND COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),32-Town: Distant,†,†,†,–,6.14,–
ADDISON SCHOOL DISTRICT,Vermont,ADDISON COUNTY,1,†,1,2-Local school district that is a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,6th Grade,81,5.44,14.89
ADDISON SD 4,Illinois,DUPAGE COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,4299,260.1,16.53
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,DALLAS COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1550,115.2,13.45
ADEL SD 21,Oregon,LAKE COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,2nd Grade,12th Grade,13,1,13
ADELANTO ELEMENTARY,California,SAN BERNARDINO COUNTY,16,3,16,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,10378,396.93,26.15
ADENA LOCAL,Ohio,ROSS COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1208,–,–
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,ONEIDA COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1322,116.88,11.31
ADLAI E STEVENSON HSD 125,Illinois,LAKE COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,3906,272.63,14.33
ADMIRAL PEARY AVTS,Pennsylvania,CAMBRIA COUNTY,1,0,1,4-Regional Education Service Agency (RESA),31-Town: Fringe,3-All associated schools are noncharter,9th Grade,12th Grade,0,17.5,0
ADNA SCHOOL DISTRICT,Washington,LEWIS COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,612,33.88,18.06
ADRIAN ISD,Texas,OLDHAM COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,117,16.65,7.03
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,NOBLES COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,575,39.96,14.39
ADRIAN R-III,Missouri,BATES COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,763,53.97,14.14
ADRIAN SCHOOL DISTRICT OF THE CITY OF,Michigan,LENAWEE COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3017,205.24,14.7
ADRIAN SD 61,Oregon,MALHEUR COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,266,16.69,15.94
ADVANCE R-IV,Missouri,STODDARD COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,446,34.98,12.75
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,MIDDLESEX COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,6th Grade,12th Grade,999,81.39,12.27
ADVANCED TECHNOLOGY ACADEMY,Michigan,WAYNE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Prekindergarten,12th Grade,1257,80.41,15.63
ADVANTAGE ACADEMY,Texas,DALLAS COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Prekindergarten,12th Grade,1633,99.83,16.36
AEA 11 HEARTLAND AEA,Iowa,POLK COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,†,†,–,17,–
AEA 13 GREEN HILLS AEA,Iowa,POTTAWATTAMIE COUNTY,0,0,†,4-Regional Education Service Agency (RESA),41-Rural: Fringe,†,†,†,–,21.51,–
AEA 267,Iowa,BLACK HAWK COUNTY,0,0,†,4-Regional Education Service Agency (RESA),13-City: Small,†,†,†,–,109.02,–
AFFTON 101,Missouri,ST. LOUIS COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,2504,161.56,15.5
AFSA HIGH SCHOOL,Minnesota,RAMSEY COUNTY,2,2,2,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,5th Grade,12th Grade,384,34.23,11.22
AFTON,Oklahoma,OTTAWA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,565,36.06,15.67
AFTON CENTRAL SCHOOL DISTRICT,New York,CHENANGO COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,571,61.47,9.29
AGAMIM CLASSICAL ACADEMY,Minnesota,HENNEPIN COUNTY,0,0,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,†,†,†,†,†
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,SULLY COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,267,26.78,9.97
AGATE SCHOOL DISTRICT NO. 300,Colorado,ELBERT COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,5th Grade,10,2.23,4.48
AGAWAM,Massachusetts,HAMPDEN COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,4091,310.87,13.16
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,OAKLAND COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,12th Grade,377,25,15.08
AGORA CYBER CS,Pennsylvania,DELAWARE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,9290,398.5,23.31
AGRA,Oklahoma,LINCOLN COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,424,31.96,13.27
AGUA DULCE ISD,Texas,NUECES COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,397,33.9,11.71
AGUA FRIA UNION HIGH SCHOOL DISTRICT,Arizona,MARICOPA COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,9th Grade,12th Grade,7542,341.71,22.07
AGUILA ELEMENTARY DISTRICT,Arizona,MARICOPA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,12th Grade,218,9,24.22
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,LAS ANIMAS COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,130,17.99,7.23
AGWSR COMM SCHOOL DISTRICT,Iowa,HARDIN COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,691,47.16,14.65
AHWATUKEE FOOTHILLS PREP  INC.,Arizona,MARICOPA COUNTY,2,2,2,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,9th Grade,254,–,–
AHWATUKEE FOOTHILLS PREP EARLY COLLEGE HIGH SCHOOL  INC.,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,27,–,–
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,7th Grade,12th Grade,393,–,–
AIKEN 01,South Carolina,AIKEN COUNTY,40,3,40,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,24534,1516.7,16.18
AINSWORTH COMMUNITY SCHOOLS,Nebraska,BROWN COUNTY,4,†,4,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,477,–,–
AIRLINE CSD,Maine,PENOBSCOT COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,60,4.65,12.9
AIRPORT COMMUNITY SCHOOLS,Michigan,MONROE COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2462,127.02,19.38
AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL,Michigan,WAYNE COUNTY,0,0,1,7-Independent Charter District,11-City: Large,†,6th Grade,12th Grade,†,†,†
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,AITKIN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1204,83.32,14.45
AJO UNIFIED DISTRICT,Arizona,PIMA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,416,23.8,17.48
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. 1,Arizona,PINAL COUNTY,1,1,1,7-Independent Charter District,42-Rural: Distant,1-All associated schools are charter schools,Kindergarten,2nd Grade,15,–,–
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. 2,Arizona,PINAL COUNTY,1,1,1,7-Independent Charter District,42-Rural: Distant,1-All associated schools are charter schools,3rd Grade,5th Grade,165,–,–
AKIN CCSD 91,Illinois,FRANKLIN COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,98,8.2,11.95
"AKRON ACADEMY OF EXCELLENCE, THE",Ohio,SUMMIT COUNTY,0,0,1,7-Independent Charter District,12-City: Mid-size,†,†,†,†,†,†
AKRON CENTRAL SCHOOL DISTRICT,New York,ERIE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,1430,101.94,14.03
AKRON CITY,Ohio,SUMMIT COUNTY,49,0,49,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,21532,–,–
AKRON DIGITAL ACADEMY,Ohio,SUMMIT COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,6th Grade,12th Grade,423,–,–
AKRON PREPARATORY SCHOOL,Ohio,SUMMIT COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,8th Grade,332,–,–
AKRON SCHOOL DISTRICT NO. R-1,Colorado,WASHINGTON COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,357,31.26,11.42
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,PLYMOUTH COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,513,45.49,11.28
AKRON-FAIRGROVE SCHOOLS,Michigan,TUSCOLA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,285,15.94,17.88
AKROS MIDDLE SCHOOL,Ohio,SUMMIT COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,6th Grade,8th Grade,134,–,–
AL INST DEAF AND BLIND,Alabama,TALLADEGA COUNTY,4,†,4,5-State agency providing elementary and/or secondary level instruction,32-Town: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,–,–,–
ALABAMA CLINICAL SCHOOL,Alabama,JEFFERSON COUNTY,1,†,1,5-State agency providing elementary and/or secondary level instruction,12-City: Mid-size,3-All associated schools are noncharter,†,†,–,–,–
ALABAMA CORRECTIONAL FACILITIES,Alabama,MONTGOMERY COUNTY,4,†,4,5-State agency providing elementary and/or secondary level instruction,32-Town: Distant,3-All associated schools are noncharter,†,†,–,–,–
ALABAMA SCHOOL OF FINE ARTS,Alabama,JEFFERSON COUNTY,1,†,1,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,7th Grade,12th Grade,–,–,–
